Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,146.968715,-24.950197,180.0,bottom
C2,22pF,C_0402_1005Metric,157.268715,-48.270197,270.0,bottom
C3,22pF,C_0402_1005Metric,151.888715,-48.270197,90.0,bottom
C4,1uF,C_0402_1005Metric,155.075857,-31.234231,180.0,bottom
C5,100nF,C_0402_1005Metric,160.388716,-31.010195,0.0,bottom
C6,100nF,C_0402_1005Metric,153.628715,-34.120197,90.0,bottom
C7,100nF,C_0402_1005Metric,149.618715,-47.170197,270.0,bottom
C8,1uF,C_0402_1005Metric,151.186203,-34.287282,90.0,bottom
C9,100nF,C_0402_1005Metric,155.089999,-32.224181,180.0,bottom
C10,1uF,C_0402_1005Metric,150.189182,-34.294354,90.0,bottom
C11,100nF,C_0402_1005Metric,159.338715,-36.580197,180.0,bottom
C12,100nF,C_0402_1005Metric,146.368715,-40.600198,0.0,bottom
C13,100nF,C_0402_1005Metric,159.685298,-40.593127,180.0,bottom
C14,100nF,C_0402_1005Metric,150.658715,-47.170197,270.0,bottom
C15,100nF,C_0402_1005Metric,147.770877,-35.736851,0.0,bottom
C16,100nF,C_0402_1005Metric,149.192163,-34.301424,90.0,bottom
C17,10uF,C_0402_1005Metric,148.708715,-30.035197,180.0,bottom
DA0,1N4148,D_SOD-123,23.786215,-1.280197,0.0,bottom
DA1,1N4148,D_SOD-123,45.216215,-1.290197,0.0,bottom
DA2,1N4148,D_SOD-123,65.952734,-2.335099,4.0,bottom
DA3,1N4148,D_SOD-123,86.618715,-4.770197,8.0,bottom
DA4,1N4148,D_SOD-123,107.012659,-8.613251,12.0,bottom
DA5,1N4148,D_SOD-123,127.378715,-11.880197,7.0,bottom
DA6,1N4148,D_SOD-123,137.522771,-12.960197,5.0,bottom
DA7,1N4148,D_SOD-123,166.592771,-12.870197,355.0,bottom
DA8,1N4148,D_SOD-123,186.018715,-10.730197,353.0,bottom
DA9,1N4148,D_SOD-123,206.268715,-6.650197,348.0,bottom
