Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,173.71,-49.61,180.0,bottom
C2,22pF,C_0402_1005Metric,184.01,-72.93,270.0,bottom
C3,22pF,C_0402_1005Metric,178.63,-72.93,90.0,bottom
C4,1uF,C_0402_1005Metric,181.817142,-55.894034,180.0,bottom
C5,100nF,C_0402_1005Metric,187.130001,-55.669998,0.0,bottom
C6,100nF,C_0402_1005Metric,180.37,-58.78,90.0,bottom
C7,100nF,C_0402_1005Metric,176.36,-71.83,270.0,bottom
C8,1uF,C_0402_1005Metric,177.927488,-58.947085,90.0,bottom
C9,100nF,C_0402_1005Metric,181.831284,-56.883984,180.0,bottom
C10,1uF,C_0402_1005Metric,176.930467,-58.954157,90.0,bottom
C11,100nF,C_0402_1005Metric,186.08,-61.24,180.0,bottom
C12,100nF,C_0402_1005Metric,173.11,-65.260001,0.0,bottom
C13,100nF,C_0402_1005Metric,186.426583,-65.25293,180.0,bottom
C14,100nF,C_0402_1005Metric,177.4,-71.83,270.0,bottom
C15,100nF,C_0402_1005Metric,174.512162,-60.396654,0.0,bottom
C16,100nF,C_0402_1005Metric,175.933448,-58.961227,90.0,bottom
C17,10uF,C_0402_1005Metric,175.45,-54.695,180.0,bottom
DA0,1N4148,D_SOD-123,50.5275,-25.94,0.0,bottom
DA1,1N4148,D_SOD-123,71.9575,-25.95,0.0,bottom
DA2,1N4148,D_SOD-123,92.694019,-26.994902,4.0,bottom
DA3,1N4148,D_SOD-123,113.36,-29.43,8.0,bottom
DA4,1N4148,D_SOD-123,133.753944,-33.273054,12.0,bottom
DA5,1N4148,D_SOD-123,154.12,-36.54,7.0,bottom
DA6,1N4148,D_SOD-123,164.264056,-37.62,5.0,bottom
DA7,1N4148,D_SOD-123,193.334056,-37.53,355.0,bottom
DA8,1N4148,D_SOD-123,212.76,-35.39,353.0,bottom
DA9,1N4148,D_SOD-123,233.01,-31.31,348.0,bottom
DA10,1N4148,D_SOD-123,253.54,-28.11,352.0,bottom
DA11,1N4148,D_SOD-123,274.242744,-26.32,356.0,bottom
DA12,1N4148,D_SOD-123,295.0675,-25.92,0.0,bottom
DA13,1N4148,D_SOD-123,316.4475,-25.93,0.0,bottom
DB0,1N4148,D_SOD-123,50.5,-49.73,0.0,bottom
DB1,1N4148,D_SOD-123,69.57,-49.75,0.0,bottom
DB2,1N4148,D_SOD-123,88.62,-47.36,0.0,bottom
DB3,1N4148,D_SOD-123,111.22,-52.34,12.0,bottom
